Date, Count,
10/1/2017,31,
10/2/2017,41,
10/3/2017,107,
10/4/2017,47,
10/5/2017,35,
10/6/2017,24,
10/7/2017,20,
10/8/2017,72,
10/9/2017,93,
10/10/2017,126,
10/11/2017,114,
10/12/2017,250,
10/13/2017,156,
10/14/2017,111,
10/15/2017,59,
10/16/2017,75,
10/17/2017,70,
10/18/2017,58,
10/19/2017,42,
10/20/2017,23,
10/21/2017,77,
10/22/2017,68,
10/23/2017,590,
10/24/2017,1333,
10/25/2017,944,
10/26/2017,1230,
10/27/2017,1160,
10/28/2017,579,
10/29/2017,316,
10/30/2017,452,
10/31/2017,718,
11/1/2017,503,
11/2/2017,328,
11/3/2017,770,
11/4/2017,394,
11/5/2017,188,
11/6/2017,217,
11/7/2017,113,
11/8/2017,32,
11/9/2017,61,
11/10/2017,33,
11/11/2017,60,
11/12/2017,18,
11/13/2017,85,
11/14/2017,56,
11/15/2017,218,
11/16/2017,431,
11/17/2017,336,
11/18/2017,628,
11/19/2017,272,
11/20/2017,252,
11/21/2017,312,
11/22/2017,379,
11/23/2017,292,
11/24/2017,193,
11/25/2017,381,
11/26/2017,258,
11/27/2017,281,
11/28/2017,583,
11/29/2017,324,
11/30/2017,292,
12/1/2017,359,
12/2/2017,319,
12/3/2017,355,
12/4/2017,214,
12/5/2017,447,
12/6/2017,320,
12/7/2017,283,
12/8/2017,357,
12/9/2017,220,
12/10/2017,192,
12/11/2017,225,
12/12/2017,737,
12/13/2017,386,
12/14/2017,339,
12/15/2017,1576,
12/16/2017,2178,
12/17/2017,815,
12/18/2017,1359,
12/19/2017,1175,
12/20/2017,849,
12/21/2017,1072,
12/22/2017,1405,
12/23/2017,1497,
12/24/2017,883,
12/25/2017,797,
12/26/2017,783,
12/27/2017,1642,
12/28/2017,1668,
12/29/2017,1569,
12/30/2017,1373,
12/31/2017,3958,
1/1/2018,2501,
1/2/2018,2316,
1/3/2018,1434,
1/4/2018,1331,
1/5/2018,1833,
1/6/2018,2395,
1/7/2018,2075,
1/8/2018,1525,
1/9/2018,3250,
1/10/2018,2707,
1/11/2018,4447,