票站編號,票站名稱,數票總數,蔣麗芸,梁美芬,毛孟靜,劉小麗,蔣麗芸,梁美芬,毛孟靜,劉小麗
F0901,英華書院,6045,399,2206,355,609,6.60%,36.49%,5.87%,10.07%
F0401,石硤尾社區會堂,5676,428,2104,343,626,7.54%,37.07%,6.04%,11.03%
G1201,保良局溫林美賢耆暉中心,2792,343,1149,149,228,12.29%,41.15%,5.34%,8.17%
G1801,葛量洪校友會黃埔學校,7148,584,1913,878,1088,8.17%,26.76%,12.28%,15.22%
G1902,香港青少年服務處賽馬會方樹泉綜合青少年服務中心,2207,171,580,286,346,7.75%,26.28%,12.96%,15.68%
G0401,獻主會聖馬善樂小學,5068,632,1507,566,643,12.47%,29.74%,11.17%,12.69%
E0901,路德會沙崙學校,3192,418,898,353,392,13.10%,28.13%,11.06%,12.28%
F1901,長沙灣社區中心,4985,481,1217,528,689,9.65%,24.41%,10.59%,13.82%
F2201,大坑東社區中心,4929,382,1086,296,482,7.75%,22.03%,6.01%,9.78%
G2001,聖公會聖匠中學,5979,676,1527,673,896,11.31%,25.54%,11.26%,14.99%
G1601,中華基督教會基道中學,3080,361,799,358,416,11.72%,25.94%,11.62%,13.51%
E0701,明我幼稚園(奧運校),3040,453,884,432,306,14.90%,29.08%,14.21%,10.07%
G1301,佛教陳策文伉儷幼稚園,4213,829,1381,250,384,19.68%,32.78%,5.93%,9.11%
F2302,香港城市大學澤安中心,2747,330,646,328,321,12.01%,23.52%,11.94%,11.69%
F2001,白田社區會堂,3933,483,802,320,613,12.28%,20.39%,8.14%,15.59%
E1401,界限街一號體育館,3542,475,755,463,477,13.41%,21.32%,13.07%,13.47%
F2301,白田天主教小學,2038,243,404,168,298,11.92%,19.82%,8.24%,14.62%
G1701,博愛醫院任永賢夫人幼稚園幼兒中心,2992,429,659,415,404,14.34%,22.03%,13.87%,13.50%
G0902,九龍方方樂趣幼稚兒園,585,129,167,66,62,22.05%,28.55%,11.28%,10.60%
F1601,荔枝角社區會堂,5791,665,1035,807,945,11.48%,17.87%,13.94%,16.32%
E1301,聖公會基榮小學,3217,529,727,357,432,16.44%,22.60%,11.10%,13.43%
G2201,愛培學校,3298,479,670,378,490,14.52%,20.32%,11.46%,14.86%
G1901,馬頭涌官立小學(紅磡灣),2224,288,400,333,428,12.95%,17.99%,14.97%,19.24%
LC002,亞洲國際博覽館 (點算誤投選票),43,8,10,8,6,18.60%,23.26%,18.60%,13.95%
E1201,鮮魚行學校,4030,606,778,470,546,15.04%,19.31%,11.66%,13.55%
G2401,路德會包美達社區中心,6293,992,1256,775,842,15.76%,19.96%,12.32%,13.38%
G0602,何文田官立中學,2006,328,404,312,262,16.35%,20.14%,15.55%,13.06%
E0801,香港保護兒童會中銀幼兒學校,3794,524,659,593,553,13.81%,17.37%,15.63%,14.58%
G1702,紅磡社區會堂,2439,389,459,289,382,15.95%,18.82%,11.85%,15.66%
E1501,優才(楊殷有娣)書院,2793,471,530,309,395,16.86%,18.98%,11.06%,14.14%
G0601,余振強紀念中學,3886,671,741,544,555,17.27%,19.07%,14.00%,14.28%
F2101,聖母玫瑰書院,3948,628,670,576,660,15.91%,16.97%,14.59%,16.72%
G0702,九龍總商會,3054,436,462,521,503,14.28%,15.13%,17.06%,16.47%
F0201,福榮街官立小學,4227,620,655,541,653,14.67%,15.50%,12.80%,15.45%
F1701,五邑工商總會學校,2715,459,455,291,412,16.91%,16.76%,10.72%,15.17%
E1601,東華三院羅裕積小學,2881,466,445,353,494,16.17%,15.45%,12.25%,17.15%
G0701,明愛九龍社區中心,1984,378,360,335,276,19.05%,18.15%,16.89%,13.91%
G0901,九龍塘官立小學,3882,737,698,561,562,18.99%,17.98%,14.45%,14.48%
G0801,賽馬會官立中學,3840,715,661,613,507,18.62%,17.21%,15.96%,13.20%
E1701,油蔴地街坊會學校,1933,371,339,266,274,19.19%,17.54%,13.76%,14.17%
F1501,荔枝角公園體育館,5477,955,846,1000,863,17.44%,15.45%,18.26%,15.76%
F1401,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,4904,858,743,911,778,17.50%,15.15%,18.58%,15.86%
F0101,保安道體育館,4326,783,681,463,562,18.10%,15.74%,10.70%,12.99%
E0601,旺角社區會堂,2630,469,401,335,386,17.83%,15.25%,12.74%,14.68%
E1702,香港理工大學紅磡灣校園,338,62,51,42,48,18.34%,15.09%,12.43%,14.20%
G1101,聖三一堂小學,3654,660,531,455,534,18.06%,14.53%,12.45%,14.61%
G2101,紅磡市政大廈體育館,4284,1032,877,372,524,24.09%,20.47%,8.68%,12.23%
F0801,南昌社區中心,3874,708,539,394,528,18.28%,13.91%,10.17%,13.63%
G2301,何文田體育館,3875,877,678,426,432,22.63%,17.50%,10.99%,11.15%
E0101,仁愛堂陳鄭玉而幼稚園,2868,687,504,397,342,23.95%,17.57%,13.84%,11.92%
G0301,保良局林文燦英文小學,5413,1231,868,595,784,22.74%,16.04%,10.99%,14.48%
F0601,深水埔街坊福利事務促進會,3334,667,433,387,485,20.01%,12.99%,11.61%,14.55%
F1301,美孚新邨孚佑堂,5876,1290,841,1001,855,21.95%,14.31%,17.04%,14.55%
F0501,基督教香港崇真會安康幼兒學校,3548,775,386,365,483,21.84%,10.88%,10.29%,13.61%
G0201,土瓜灣體育館,7578,1874,1013,843,1032,24.73%,13.37%,11.12%,13.62%
F1201,聖公會聖馬利亞堂莫慶堯中學,6422,1323,569,478,787,20.60%,8.86%,7.44%,12.25%
E0501,油蔴地天主教小學(海泓道),8284,1815,840,1247,1329,21.91%,10.14%,15.05%,16.04%
F1001,麗閣社區會堂,4944,1159,567,478,710,23.44%,11.47%,9.67%,14.36%
E1101,中華基督教會基全小學,4788,1338,674,474,687,27.94%,14.08%,9.90%,14.35%
E1001,大角嘴天主教小學,3677,975,422,410,523,26.52%,11.48%,11.15%,14.22%
E0401,梁顯利油麻地社區中心,4301,1145,433,493,658,26.62%,10.07%,11.46%,15.30%
F0301,英華女學校,3098,844,328,310,410,27.24%,10.59%,10.01%,13.23%
E0201,九龍公園體育館,5697,1633,660,798,719,28.66%,11.59%,14.01%,12.62%
G0101,馬頭涌官立小學,5366,1467,540,612,775,27.34%,10.06%,11.41%,14.44%
G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,2510,637,153,168,269,25.38%,6.10%,6.69%,10.72%
G0501,聖文嘉幼稚園,2993,824,199,253,380,27.53%,6.65%,8.45%,12.70%
F1101,旅港開平商會學校,3468,1072,296,277,359,30.91%,8.54%,7.99%,10.35%
G1501,基督教香港信義會紅磡信義學校,2614,946,357,236,293,36.19%,13.66%,9.03%,11.21%
E1901,佐敦道官立小學,5350,1673,431,634,776,31.27%,8.06%,11.85%,14.50%
G1001,九龍城體育館,2854,878,202,356,450,30.76%,7.08%,12.47%,15.77%
F0701,北河街體育館,2423,817,236,230,301,33.72%,9.74%,9.49%,12.42%
F1801,長沙灣體育館,5634,2061,348,424,664,36.58%,6.18%,7.53%,11.79%