Month,Youth Total,Elderly Total
2014 January,1,4
2014 February,1,5
2014 March,0,1
2014 April,1,4
2014 May,4,5
2014 June,0,4
2014 July,3,4
2014 August,5,4
2014 September,0,1
2014 October,1,6
2014 November,2,2
2014 December,0,3
2015 January,0,6
2015 February,1,3
2015 March,0,6
2015 April,2,5
2015 May,2,3
2015 June,0,2
2015 July,1,6
2015 August,0,1
2015 September,0,1
2015 October,2,5
2015 November,1,4
2015 December,0,0
2016 January,3,4
2016 February,2,4
2016 March,2,4
2016 April,2,3
2016 May,2,7
2016 June,4,3
2016 July,0,3
2016 August,2,13
2016 September,0,3
2016 October,0,5
2016 November,2,3
2016 December,0,2
2017 January,1,9
2017 February,1,6
2017 March,0,5
2017 April,3,10
2017 May,1,6
2017 June,3,4
2017 July,3,7
2017 August,1,6
2017 September,2,7
2017 October,3,8
2017 November,2,11
2017 December,3,9
2018 January,5,3
2018 February,1,5
2018 March,0,5
2018 April,3,2
2018 May,2,4
2018 June,0,3
2018 July,0,4
2018 August,2,7
2018 September,1,3
2018 October,1,6
2018 November,0,6
2018 December,0,5
2019 January,1,9
2019 February,2,3
2019 March,0,5
2019 April,1,6
2019 May,2,1
2019 June,3,5
2019 July,9,6
2019 August,0,4
2019 September,3,9