調查日期 Date of survey,樣本人數 Total Sample,次樣本人數 Sub-sample,香港人 Hongkonger,中國的香港人 Hongkonger in China,香港的中國人 Chinese in Hong Kong,中國人 Chinese,混合身分 Mixed Identity,其他 (請列明) Other,唔知/難講 DK/HS
12-15/12/2016,1001,728,34.60%,29.10%,17.70%,16.30%,46.80%,1.40%,1.00%
10-16/6/2016,1007,573,41.90%,25.10%,12.90%,17.80%,38.00%,1.30%,0.90%
3-7/12/2015,1011,687,40.20%,27.40%,13.00%,18.10%,40.40%,0.90%,0.40%
15-18/6/2015,1003,678,36.30%,27.40%,13.10%,22.10%,40.50%,0.30%,0.80%
10-16/12/2014,1016,660,42.30%,24.30%,15.00%,17.80%,39.30%,0.60%,0.00%
6-12/6/2014,1026,660,40.20%,27.10%,11.60%,19.50%,38.70%,0.20%,1.30%
9-12/12/2013,1015,628,34.80%,27.60%,15.00%,21.80%,42.60%,0.80%,0.10%
10-13/6/2013,1055,677,38.20%,24.30%,12.00%,23.00%,36.30%,1.10%,1.60%
14-17/12/2012,1019,687,27.20%,33.10%,16.10%,21.30%,49.20%,0.60%,1.70%
13-20/6/2012,1001,560,45.60%,22.80%,11.50%,18.30%,34.30%,1.10%,0.70%
12-20/12/2011,1016,541,37.70%,25.30%,17.80%,16.60%,43.10%,0.60%,2.10%
21-22/6/2011,520,520,43.80%,21.30%,10.30%,23.50%,31.70%,0.40%,0.60%
13-16/12/2010,1013,1013,35.50%,27.60%,13.80%,21.10%,41.40%,0.40%,1.50%
9-13/6/2010,1004,1004,25.30%,31.30%,14.80%,27.80%,46.00%,0.40%,0.50%
8-11/12/2009,1007,1007,37.60%,23.90%,13.10%,24.20%,37.00%,0.20%,1.00%
8-13/6/2009,1002,1002,24.70%,32.00%,13.30%,29.30%,45.30%,0.20%,0.40%
9-12/12/2008,1016,1016,21.80%,29.60%,13.00%,34.40%,42.60%,0.50%,0.70%
11-13/6/2008,1012,1012,18.10%,29.20%,13.30%,38.60%,42.50%,0.10%,0.70%
11-14/12/2007,1011,1011,23.50%,31.50%,16.00%,27.20%,47.50%,0.70%,1.10%
8-12/6/2007,1016,1016,23.40%,31.80%,16.70%,26.40%,48.50%,0.30%,1.40%
6-12/12/2006*,1011,1011,22.40%,24.30%,20.10%,31.80%,44.40%,0.60%,0.70%
13-15/6/2006*,1018,1018,24.80%,25.10%,14.90%,34.60%,40.00%,0.30%,0.30%
9-14/12/2005,1017,1017,24.80%,26.50%,16.90%,30.70%,43.40%,0.00%,1.10%
6-8/6/2005,1029,1029,24.00%,21.20%,14.70%,36.40%,35.90%,0.50%,3.30%
6-9/12/2004,1007,1007,25.90%,23.10%,16.20%,31.60%,39.30%,0.40%,2.80%
7-11/6/2004,1027,1027,28.00%,21.20%,14.30%,33.00%,35.50%,0.40%,3.10%
10-14/12/2003,1059,1059,24.90%,23.40%,15.60%,32.50%,39.00%,0.30%,3.30%
13-18/6/2003,1043,1043,36.70%,19.20%,11.90%,29.00%,31.10%,0.70%,2.50%
1-4/3/2003,1035,1035,28.50%,22.30%,15.00%,32.30%,37.30%,0.30%,1.60%
13-18/12/2002,1026,1026,31.10%,21.30%,14.30%,29.70%,35.60%,0.60%,3.00%
2-5/9/2002,1017,1017,28.90%,22.00%,15.00%,32.50%,37.00%,0.40%,1.20%
4-5/6/2002,1067,1067,32.20%,18.10%,13.00%,32.50%,31.10%,0.40%,3.90%
12-13/3/2002,1024,1024,27.50%,23.30%,17.90%,28.30%,41.20%,0.00%,3.00%
7-9/12/2001,1052,1052,31.90%,20.50%,10.40%,31.50%,30.90%,0.30%,5.40%
13-21/9/2001,1025,1025,26.10%,27.90%,17.60%,25.80%,45.50%,0.40%,2.10%
1-5/6/2001,1053,1053,36.10%,18.30%,13.30%,28.40%,31.60%,0.00%,3.80%
22/3-2/4/2001,1014,1014,31.40%,21.70%,16.00%,28.20%,37.70%,0.40%,2.30%
4-12/12/2000,1040,1040,35.60%,19.10%,13.80%,25.20%,32.90%,0.90%,5.50%
21-25/9/2000,1087,1087,37.00%,26.80%,14.50%,17.40%,41.30%,0.40%,3.90%
7-8/6/2000,1074,1074,35.50%,22.90%,14.00%,22.80%,36.90%,0.70%,4.10%
6-7/4/2000,570,570,38.70%,21.40%,14.20%,20.40%,35.60%,0.20%,5.10%
1-2/2/2000,566,566,38.30%,23.20%,19.50%,13.80%,42.70%,0.50%,4.60%
13-15/12/1999,529,529,39.00%,20.90%,17.20%,19.90%,38.10%,0.20%,2.80%
26-27/10/1999,535,535,31.20%,23.70%,16.20%,25.50%,39.90%,0.70%,2.60%
6/8/1999,596,596,30.30%,23.30%,17.50%,25.30%,40.80%,0.30%,3.20%
8/6/1999,538,538,39.90%,25.00%,11.20%,17.00%,36.20%,0.60%,6.30%
15/4/1999,527,527,43.40%,20.00%,13.10%,18.00%,33.10%,0.40%,5.10%
8-9/2/1999,513,513,41.00%,20.90%,15.30%,17.60%,36.20%,1.20%,3.90%
21/12/1998,544,544,40.70%,22.30%,15.10%,17.20%,37.40%,0.60%,4.20%
29/9/1998,517,517,39.40%,22.90%,15.50%,20.60%,38.40%,0.40%,1.20%
14/8/1998,526,526,29.70%,25.20%,19.60%,22.00%,44.80%,0.20%,3.20%
22-24/6/1998,1042,1042,30.20%,18.00%,16.10%,31.60%,34.10%,0.40%,3.80%
3-4/6/1998,544,544,34.20%,18.60%,18.70%,24.80%,37.30%,0.20%,3.40%
8-9/12/1997,500,500,35.80%,22.90%,18.90%,18.20%,41.80%,0.20%,3.90%
28-29/10/1997,536,536,36.60%,22.60%,20.10%,17.50%,42.70%,0.20%,3.00%
23-24/9/1997,512,512,36.20%,24.20%,20.30%,17.50%,44.50%,0.20%,1.60%
26-27/8/1997,532,532,34.90%,24.80%,20.10%,18.60%,44.90%,0.40%,1.30%